Date;Año;Mes;ARG;BRA;ESP;FRA;GER;ITA;;;;;ARG;BRA;ESP;FRA;GER;ITA;;;ARG;BRA;ESP;FRA;GER;ITA;;ARG;BRA;ESP;FRA;GER;ITA
08-08-1993;1993;8;5;8;13;12;1;2;;;1993;1993;8,6;3,4;9,2;12,6;2,8;2;;1993;8,6;3,4;9,2;12,6;2,8;2;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
23-09-1993;1993;9;12;1;14;7;5;2;;;1994;1994;8,7;1,4;5,8;16,6;2,8;6,4;;1994;8,7;1,4;5,8;16,6;2,8;6,4;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
22-10-1993;1993;10;9;1;7;14;4;3;;;1995;1995;7,3;1;3,2;15,5;3,8;3,6;;1995;7,3;1;3,2;15,5;3,8;3,6;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
19-11-1993;1993;11;9;4;7;15;3;1;;;1996;1996;15;1;7,1;4,8;2,1;5,6;;1996;15;1;7,1;4,8;2,1;5,6;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
23-12-1993;1993;12;8;3;5;15;1;2;;;1997;1997;15,9;1;4,5;8,1;2,6;9,6;;1997;15,9;1;4,5;8,1;2,6;9,6;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
15-02-1994;1994;2;9;2;6;14;1;7;;;1998;1998;6,7;1;16;7,5;2,6;10,1;;1998;6,7;1;16;7,5;2,6;10,1;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
15-03-1994;1994;3;8;2;6;15;1;11;;;1999;1999;6,7;1;6,7;2,3;4,7;6,3;;1999;6,7;1;6,7;2,3;4,7;6,3;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
19-04-1994;1994;4;10;1;7;15;2;13;;;2000;2000;4,6;1;4,7;2,4;7,3;9,8;;2000;4,6;1;4,7;2,4;7,3;9,8;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
17-05-1994;1994;5;6;1;9;17;2;16;;;2001;2001;2,8;1,8;6,7;1,3;9,8;4,5;;2001;2,8;1,8;6,7;1,3;9,8;4,5;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
14-06-1994;1994;6;8;3;5;13;1;4;;;2002;2002;3,3;1,7;5,1;1,8;7,5;8,4;;2002;3,3;1,7;5,1;1,8;7,5;8,4;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
21-07-1994;1994;7;9;1;6;16;4;2;;;2003;2003;4,8;1;2,8;2,2;6,9;11,8;;2003;4,8;1;2,8;2,2;6,9;11,8;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
13-09-1994;1994;9;9;1;6;20;4;2;;;2004;2004;5;1;3,3;2;11,8;9,8;;2004;5;1;3,3;2;11,8;9,8;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
25-10-1994;1994;10;9;1;6;19;4;2;;;2005;2005;3,1;1;6,8;4,7;16,3;11,4;;2005;3,1;1;6,8;4,7;16,3;11,4;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
22-11-1994;1994;11;9;1;5;18;4;3;;;2006;2006;4,4;1;7,7;4,9;12,7;7,1;;2006;4,4;1;7,7;4,9;12,7;7,1;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
20-12-1994;1994;12;10;1;2;19;5;4;;;2007;2007;2,2;2,1;7,9;4,5;4,8;2;;2007;2,2;2,1;7,9;4,5;4,8;2;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
20-02-1995;1995;2;7;1;2;18;5;3;;;2008;2008;3,8;3,5;2,5;9,1;3,8;2,8;;2008;3,8;3,5;2,5;9,1;3,8;2,8;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
19-04-1995;1995;4;8;1;3;18;4;2;;;2009;2009;6,9;3;1,3;9,6;3,6;4,3;;2009;6,9;3;1,3;9,6;3,6;4,3;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
16-05-1995;1995;5;8;1;3;17;5;2;;;2010;2010;6,4;2,5;1,2;15,2;4,6;9,3;;2010;6,4;2,5;1,2;15,2;4,6;9,3;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
13-06-1995;1995;6;10;1;3;17;5;2;;;2011;2011;7,8;4,8;1,1;16,3;3,2;8,9;;2011;7,8;4,8;1,1;16,3;3,2;8,9;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
25-07-1995;1995;7;5;1;3;18;4;6;;;2012;2012;7,2;9,7;1;15,4;2,3;8,1;;2012;7,2;9,7;1;15,4;2,3;8,1;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
22-08-1995;1995;8;5;1;3;18;4;6;;;2013;2013;3,1;14,3;1;19,7;2,1;6,3;;2013;3,1;14,3;1;19,7;2,1;6,3;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
19-09-1995;1995;9;9;1;6;20;4;2;;;2014;2014;3,3;6,6;4,8;12,8;1,5;10,3;;2014;3,3;6,6;4,8;12,8;1,5;10,3;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
17-10-1995;1995;10;7;1;2;12;3;6;;;2015;2015;1,8;5,8;9,1;16,2;1,8;13,8;;2015;1,8;5,8;9,1;16,2;1,8;13,8;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
21-11-1995;1995;11;7;1;3;9;2;4;;;2016;2016;1,3;5,7;7;14,6;3,8;13,7;;2016;1,3;5,7;7;14,6;3,8;13,7;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
19-12-1995;1995;12;7;1;4;8;2;3;;;2017;2017;2,6;1,7;9,4;7,4;2,1;13,8;;2017;2,6;1,7;9,4;7,4;2,1;13,8;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
24-01-1996;1996;1;7;1;4;13;2;3;;;2018;2018;4,5;2;7,3;8;1;16,8;;2018;4,5;2;7,3;8;1;16,8;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
21-02-1996;1996;2;8;1;4;7;3;2;;;;;;;;;;;;;;;;;;;;;;;;;
24-04-1996;1996;4;8;1;6;5;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
22-05-1996;1996;5;8;1;6;5;2;7;;;;;;;;;;;;;;;;;;;;;;;;;
03-07-1996;1996;7;15;1;8;3;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
28-08-1996;1996;8;24;1;7;3;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
25-09-1996;1996;9;22;1;10;3;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
23-10-1996;1996;10;17;1;10;3;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
20-11-1996;1996;11;19;1;8;3;2;9;;;;;;;;;;;;;;;;;;;;;;;;;
18-12-1996;1996;12;22;1;8;3;2;10;;;;;;;;;;;;;;;;;;;;;;;;;
27-02-1997;1997;2;18;1;7;3;2;10;;;;;;;;;;;;;;;;;;;;;;;;;
09-04-1997;1997;4;19;1;4;3;2;7;;;;;;;;;;;;;;;;;;;;;;;;;
14-05-1997;1997;5;21;1;5;4;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
18-06-1997;1997;6;16;1;3;5;2;9;;;;;;;;;;;;;;;;;;;;;;;;;
16-07-1997;1997;7;13;1;2;11;5;9;;;;;;;;;;;;;;;;;;;;;;;;;
20-08-1997;1997;8;13;1;2;11;4;8;;;;;;;;;;;;;;;;;;;;;;;;;
17-09-1997;1997;9;10;1;6;17;2;12;;;;;;;;;;;;;;;;;;;;;;;;;
17-10-1997;1997;10;13;1;2;14;3;16;;;;;;;;;;;;;;;;;;;;;;;;;
19-11-1997;1997;11;19;1;3;7;2;10;;;;;;;;;;;;;;;;;;;;;;;;;
23-12-1997;1997;12;17;1;11;6;2;9;;;;;;;;;;;;;;;;;;;;;;;;;
18-02-1998;1998;2;17;1;23;6;2;14;;;;;;;;;;;;;;;;;;;;;;;;;
18-03-1998;1998;3;7;1;25;14;2;13;;;;;;;;;;;;;;;;;;;;;;;;;
22-04-1998;1998;4;7;1;9;25;2;16;;;;;;;;;;;;;;;;;;;;;;;;;
20-05-1998;1998;5;6;1;15;18;2;14;;;;;;;;;;;;;;;;;;;;;;;;;
15-07-1998;1998;7;5;1;14;2;3;8;;;;;;;;;;;;;;;;;;;;;;;;;
19-08-1998;1998;8;5;1;14;2;3;8;;;;;;;;;;;;;;;;;;;;;;;;;
16-09-1998;1998;9;5;1;14;2;3;7;;;;;;;;;;;;;;;;;;;;;;;;;
21-10-1998;1998;10;5;1;16;2;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
18-11-1998;1998;11;5;1;15;2;3;8;;;;;;;;;;;;;;;;;;;;;;;;;
23-12-1998;1998;12;5;1;15;2;3;7;;;;;;;;;;;;;;;;;;;;;;;;;
27-01-1999;1999;1;6;1;9;2;5;4;;;;;;;;;;;;;;;;;;;;;;;;;
24-02-1999;1999;2;6;1;9;2;5;4;;;;;;;;;;;;;;;;;;;;;;;;;
24-03-1999;1999;3;6;1;9;2;5;4;;;;;;;;;;;;;;;;;;;;;;;;;
21-04-1999;1999;4;7;1;8;2;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
19-05-1999;1999;5;7;1;8;2;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
16-06-1999;1999;6;8;1;6;2;5;4;;;;;;;;;;;;;;;;;;;;;;;;;
21-07-1999;1999;7;6;1;8;2;5;4;;;;;;;;;;;;;;;;;;;;;;;;;
18-08-1999;1999;8;6;1;7;2;5;4;;;;;;;;;;;;;;;;;;;;;;;;;
15-09-1999;1999;9;7;1;4;3;5;8;;;;;;;;;;;;;;;;;;;;;;;;;
13-10-1999;1999;10;8;1;4;3;5;10;;;;;;;;;;;;;;;;;;;;;;;;;
17-11-1999;1999;11;7;1;4;2;5;12;;;;;;;;;;;;;;;;;;;;;;;;;
22-12-1999;1999;12;6;1;4;3;5;14;;;;;;;;;;;;;;;;;;;;;;;;;
19-01-2000;2000;1;6;1;4;3;5;14;;;;;;;;;;;;;;;;;;;;;;;;;
16-02-2000;2000;2;6;1;4;3;5;14;;;;;;;;;;;;;;;;;;;;;;;;;
15-03-2000;2000;3;7;1;4;3;5;14;;;;;;;;;;;;;;;;;;;;;;;;;
12-04-2000;2000;4;6;1;4;3;5;14;;;;;;;;;;;;;;;;;;;;;;;;;
10-05-2000;2000;5;5;1;4;3;6;14;;;;;;;;;;;;;;;;;;;;;;;;;
07-06-2000;2000;6;5;1;4;2;6;14;;;;;;;;;;;;;;;;;;;;;;;;;
05-07-2000;2000;7;5;1;4;2;9;6;;;;;;;;;;;;;;;;;;;;;;;;;
09-08-2000;2000;8;3;1;5;2;11;6;;;;;;;;;;;;;;;;;;;;;;;;;
06-09-2000;2000;9;3;1;5;2;9;6;;;;;;;;;;;;;;;;;;;;;;;;;
11-10-2000;2000;10;3;1;5;2;8;6;;;;;;;;;;;;;;;;;;;;;;;;;
15-11-2000;2000;11;3;1;6;2;8;5;;;;;;;;;;;;;;;;;;;;;;;;;
20-12-2000;2000;12;3;1;7;2;11;4;;;;;;;;;;;;;;;;;;;;;;;;;
17-01-2001;2001;1;3;1;7;2;11;5;;;;;;;;;;;;;;;;;;;;;;;;;
14-02-2001;2001;2;3;1;7;2;11;4;;;;;;;;;;;;;;;;;;;;;;;;;
14-03-2001;2001;3;3;1;7;2;11;5;;;;;;;;;;;;;;;;;;;;;;;;;
11-04-2001;2001;4;3;1;7;2;8;4;;;;;;;;;;;;;;;;;;;;;;;;;
16-05-2001;2001;5;3;2;6;1;9;4;;;;;;;;;;;;;;;;;;;;;;;;;
20-06-2001;2001;6;3;2;6;1;8;4;;;;;;;;;;;;;;;;;;;;;;;;;
18-07-2001;2001;7;3;2;6;1;5;4;;;;;;;;;;;;;;;;;;;;;;;;;
22-08-2001;2001;8;3;2;8;1;5;4;;;;;;;;;;;;;;;;;;;;;;;;;
19-09-2001;2001;9;3;2;6;1;12;4;;;;;;;;;;;;;;;;;;;;;;;;;
17-10-2001;2001;10;3;2;6;1;14;4;;;;;;;;;;;;;;;;;;;;;;;;;
21-11-2001;2001;11;2;3;7;1;11;6;;;;;;;;;;;;;;;;;;;;;;;;;
19-12-2001;2001;12;2;3;7;1;12;6;;;;;;;;;;;;;;;;;;;;;;;;;
16-01-2002;2002;1;2;3;7;1;12;6;;;;;;;;;;;;;;;;;;;;;;;;;
13-02-2002;2002;2;2;3;7;1;12;6;;;;;;;;;;;;;;;;;;;;;;;;;
20-03-2002;2002;3;2;3;7;1;10;4;;;;;;;;;;;;;;;;;;;;;;;;;
17-04-2002;2002;4;3;2;8;1;12;6;;;;;;;;;;;;;;;;;;;;;;;;;
15-05-2002;2002;5;3;2;8;1;11;6;;;;;;;;;;;;;;;;;;;;;;;;;
03-07-2002;2002;7;2;1;4;3;5;10;;;;;;;;;;;;;;;;;;;;;;;;;
14-08-2002;2002;8;2;1;3;4;5;9;;;;;;;;;;;;;;;;;;;;;;;;;
18-09-2002;2002;9;5;1;3;2;4;10;;;;;;;;;;;;;;;;;;;;;;;;;
23-10-2002;2002;10;5;1;3;2;4;11;;;;;;;;;;;;;;;;;;;;;;;;;
20-11-2002;2002;11;5;1;3;2;4;11;;;;;;;;;;;;;;;;;;;;;;;;;
18-12-2002;2002;12;5;1;3;2;4;13;;;;;;;;;;;;;;;;;;;;;;;;;
15-01-2003;2003;1;5;1;3;2;4;13;;;;;;;;;;;;;;;;;;;;;;;;;
19-02-2003;2003;2;4;1;3;2;5;13;;;;;;;;;;;;;;;;;;;;;;;;;
26-03-2003;2003;3;4;1;2;3;5;13;;;;;;;;;;;;;;;;;;;;;;;;;
23-04-2003;2003;4;6;1;2;3;4;14;;;;;;;;;;;;;;;;;;;;;;;;;
21-05-2003;2003;5;5;1;2;2;4;12;;;;;;;;;;;;;;;;;;;;;;;;;
25-06-2003;2003;6;4;1;3;2;6;11;;;;;;;;;;;;;;;;;;;;;;;;;
30-07-2003;2003;7;6;1;3;2;8;14;;;;;;;;;;;;;;;;;;;;;;;;;
27-08-2003;2003;8;6;1;3;2;10;11;;;;;;;;;;;;;;;;;;;;;;;;;
24-09-2003;2003;9;4;1;3;2;9;12;;;;;;;;;;;;;;;;;;;;;;;;;
22-10-2003;2003;10;4;1;3;2;7;8;;;;;;;;;;;;;;;;;;;;;;;;;
19-11-2003;2003;11;4;1;3;2;9;11;;;;;;;;;;;;;;;;;;;;;;;;;
15-12-2003;2003;12;5;1;3;2;12;10;;;;;;;;;;;;;;;;;;;;;;;;;
14-01-2004;2004;1;5;1;3;2;12;10;;;;;;;;;;;;;;;;;;;;;;;;;
18-02-2004;2004;2;6;1;3;2;12;10;;;;;;;;;;;;;;;;;;;;;;;;;
17-03-2004;2004;3;6;1;3;2;10;11;;;;;;;;;;;;;;;;;;;;;;;;;
14-04-2004;2004;4;5;1;3;2;7;11;;;;;;;;;;;;;;;;;;;;;;;;;
12-05-2004;2004;5;5;1;3;2;9;11;;;;;;;;;;;;;;;;;;;;;;;;;
